Observation,StateDate,Meal
481, 01 March 2000,"Declined the traditional offer of a special last meal. Served what the other inmates were fed: bread, beef patties, au gratin potatoes, gravy, string beans, chilled fruit and beverage."
482, 01 June 2006,Asked for a bottle of Dom Perignon (didn’t receive it).
483, 01 July 2010,Requested that final meal not be revealed to the public.
484, 01 February 2001,Declined a last meal.
485, 14 January 2009,"Soup, beef, toast and tea provided (two of three executions this date). "
486,19-Nov-09,Declined a last meal.
487,11-Jul-07,"French fries with lots of ketchup, tossed salad with French dressing, a cheeseburger with mayonnaise and tomato, Saltine crackers and apple pie."
488,18-Apr-06,"Sausage pizza, french fries and cherry pie."
489,26-Mar-04,Requested that final meal not be revealed to the public.
490,18-Mar-03,A full meal of enchiladas.
491,06-Nov-01,Raisin bagels and coffee (DOC record for same inmate as preceding page).
492,15-Oct-99,"Fifteen enchiladas heavy with cheese and onions, onion rings or fries, eight pieces fried chicken and eight pieces bbq chicken, eight whole peppers, ten hard shell tacos with plenty of meat, cheese, onions and sauce, four double meat-double cheese-double bacon burgers, a boneless T-bone steak with A1 Steak Sauce and a pan of peach cobbler."
493,01-Jul-97,Made no special request for a last meal. Had been fasting and refused to eat at all.
494,06-Sep-96,"Double cheeseburger (all the way), fries."
495,17-Jul-96,"Pizza, apple pie, and Root Beer. "
496,26-Jan-96,"Combination pizza, corn, jellied fruit salad, french fries, ice cream, chocolate...clair."
497,02-May-95,Had no final meal request.
498,06-Jan-94,"Salmon, potatoes, vegetable, green salad, desert."
499,17-Jan-77,"Barbecue ribs, chopped beef, hot links, baked beans, plain potato chips, coconut doughnuts and chocolate milk."
500,15-Aug-63,"Whole fruit: nectarines, peaches and plums."
